Question,Knowledge_Dimension,,,,
Explain Spiral Process Model and its advantages .,Procedural,,,,
Explain Feasibility Study of College Management System.,Procedural,,,,
Explain Feasibility Study of Hospital Management System,Procedural,,,,
Explain Functional and non functional requirement,Factual,,,,
Explain Prototype model and compare it with Water Fall process model .,Conceptual,,,,
What is Data design architectural design and procedural Design,Factual,,,,
Draw E-R Diagram for university result system,Procedural,,,,
Explain User Interface Design Concepts with example.,Conceptual,,,,
Explain Different Quality standards.,Factual,,,,
Explain Software Quality Assurance Techniques.,Procedural,,,,
What are the steps in software Project Planning What is effort estimation,Procedural,,,,
Explain Different Testing Techniques.,Factual,,,,
Explain CASE and building blocks of CASE,Conceptual,,,,
Explain Different Metrics Size Functional and complexity,Factual,,,,
Explain  Reliability  Cyclomatic Complexity ,Factual,,,,
Once we write the program and test it our work is not over.,Factual,,,,
Design should be traceable to the requirements model.,Factual,,,,
Full form of MTBF is  Mean Time Between Failure.,Factual,,,,
Context diagram represents system as a whole.,Factual,,,,
For software architecture there can be many separate software designs,Factual,,,,
Most of the technical effort is consumed in design phase of software development.,Factual,,,,
Black Box testing focuses on the program control structure,Factual,,,,
Explain in detail the process model which is normally suited for development of large-scale software system.,Procedural,,,,
Explain Spiral model with suitable example. Also explain how it differs from Software Prototyping model,Conceptual,,,,
Consider a project to develop a text editor. Major modules of project are 1. Menu Panel (size 9KB) 2. Text editing window (size 4 KB) 3. Short cut  keys handler (size 6 KB). Use COCOMO to determine the overall cost of the project and duration of developm,Procedural,,,,
Explain function point analysis method. Compute the function points for the following data set Inputs =8 Outputs= 12 Inquiries = 4 Logical files = 41 Interfaces =1 and   Fi = 41.,Procedural,,,,
What is SRS Why SRS is known as black-box specification of the system What are major issues addressed by SRS,Factual,,,,
Define module coupling and cohesion. Explain different types of coupling and cohesion.,Conceptual,,,,
What is Software Quality Assurance Explain various factors that affect Software Quality.,Conceptual,,,,
Explain the process model which is used in situations where the requirements are well defined.,Conceptual,,,,
Write short note on  Risk Management,Conceptual,,,,
Explain How to manage the different versions that get created and how to maintain code quality under changing conditions.,Factual,,,,
Explain in detail the design issues while designing User Interface.,Conceptual,,,,
Explain Black box testing and White box testing. Explain any one technique to carry out each testing.,Procedural,,,,
What are different levels of testing and the goals of the different levels,Conceptual,,,,
Write short note on Reverse Engineering.,Conceptual,,,,
Explain Software Process Improvement. Explain various elements of SPI framework and maturity model.,Conceptual,,,,
Write short note on Software Project Management,Conceptual,,,,
Explain incremental model for system development. Differentiate it with spiral model.,Conceptual,,,,
What is W5HH principle Explain in detail.,Factual,,,,
Draw the Data Flow Diagram with different levels for withdraw and deposit of money in a bank,Procedural,,,,
What is software prototyping Explain its significance in software engineering with example.,Conceptual,,,,
Define Quality for software. List and explain SQA activities,Conceptual,,,,
Prepare an E-R diagram for a simple Library Management System.,Procedural,,,,
Explain software testing strategy for conventional software architecture. Draw the spiral diagram showing testing strategies with phases of software development.,Procedural,,,,
Prepare a state diagram for Microwave Oven showing all states of it.,Procedural,,,,
How unit testing strategy works on a software module What errors are commonly found during unit testing,Conceptual,,,,
Define FOUR Ps for project management and explain them in detail,Factual,,,,
Explain the significance of User Interface (UI) in a system. Also explain the design model for UI.,Conceptual,,,,
List and explain requirement engineering tasks.,Conceptual,,,,
What is Cyclomatic Complexity Define steps to find cyclomatic complexity using flow graph.,Procedural,,,,
What is activity diagram and swim-lane diagram Draw activity diagram for Billing Counter of a shopping mall.,Procedural,,,,
Draw and explain Process Framework,Procedural,,,,
How do we define software engineering Draw and explain software engineering layers.,Procedural,,,,
What is Object Oriented Design of a system Create a class diagram showing all possible relationships between classes of a system,Procedural,,,,
Describe the difference between risk components and risk drivers.,Factual,,,,
Develop a complete use cases for the system which is known to you.,Procedural,,,,
Develop a complete test strategy for the system which is known to you.,Procedural,,,,
Describe requirements validation,Factual,,,,
Describe generic view of software Engineering.,Factual,,,,
Explain in brief the spiral model,Conceptual,,,,
Using appropriate example explain control flow mode,Procedural,,,,
Explain in brief the process model which is used in situations where requirements are well defined and stable.,Factual,,,,
Using appropriate example explain data dictionary,Conceptual,,,,
Explain the W^5HH principle,Conceptual,,,,
List set of guidelines for formal technical reviews,Factual,,,,
List and explain work tasks for the communication activity,Conceptual,,,,
Explain importance of SQA,Conceptual,,,,
Using example explain the basic path testing method,Procedural,,,,
Describe coding standards.,Factual,,,,
List set of guidelines for BVA  Also Explain merits and demerits of BVA,Conceptual,,,,
Describe integrated CASE Environment,Conceptual,,,,
Distinguish verification and validation.,Factual,,,,
 Define System Engineering.,Factual,,,,
 What do you mean by functional and nonâ€“functional requirements,Factual,,,,
List two advantages of employing Prototyping in Software.Process.,Factual,,,,
Define Software Architecture.,Factual,,,,
 List the notations used in Data-flow models,Factual,,,,
 What are the classes of loops that can.be tested,Factual,,,,
What is Cyclomatic complexity.,Factual,,,,
What is software configuration management,Factual,,,,
What is error tracking,Factual,,,,
Discuss in detail about any two evolutionary process models.,Conceptual,,,,
Discuss about the claSsic Waterfall process model.,Conceptual,,,,
Explain the prototype paradigm in process Models,Conceptual,,,,
What are the components of the standard structure for the software requirements document Explain in detail.,Procedural,,,,
Write the software requirement specification for a system of your  choice,Procedural,,,,
What are the types of behavioural models Explain with examples.,Conceptual,,,,
Explain in detail about any four architectural styles.,Conceptual,,,,
What are the characteristics of a .real-time system Explain why  real-time systems usually have to be implemented using concurrent   processes,Procedural,,,,
Illustrate with the aid of an appropriate .example how to design a real-time monitoring and control systems,Procedural,,,,
 Explain in detail about the Integration testing.,Procedural,,,,
Explain in detail about Basis path testing,Procedural,,,,
What is COCOMO model Explain in detail,Conceptual,,,,
What are CASE tools ExpliOn the role of CASE tools in software development process.,Conceptual,,,,
Elaborate on Software Configuration Management.,Conceptual,,,,
What are the categories of software risks Give an overview  about   risk management. ,Conceptual,,,,
What is software process List its activities.,Procedural,,,,
Distinguish between verification and validation.,Factual,,,,
List the benefits of software prototyping.,Conceptual,,,,
What is data dictionary,Factual,,,,
Define data abstraction.,Factual,,,,
Write the use of data acquisition system.,Conceptual,,,,
What is black box testing,Factual,,,,
 Write down the generic characteristics of software testing.,Factual,,,,
Compare size-oriented with function-oriented metrics.,Factual,,,,
What do you mean by estimation risk ,Factual,,,,
With a neat sketch explain the function of system engineering process.,Procedural,,,,
What is computer based . system Explain the various systeml elements used in it,Factual,,,,
Explain the business process engineering hierarchy with an  example.,Factual,,,,
What is the goal of product engineering,Conceptual,,,,
Explain the metrics used for specifying non-functional  requirements.,Factual,,,,
Show the template of IEEE standard software requirements document,Procedural,,,,
Explain the function-of requirements engineering process.,Procedural,,,,
Describe the use of behavioral model with-examples,Conceptual,,,,
Discuss the design heuristics for effective modularity design,Procedural,,,,
Explain the architectural styles used in architectural design,Conceptual,,,,
List the activities of user interface design process,Procedural,,,,
Explain the general model of a real time system,Conceptual,,,,
Explain the integration testing in detail,Procedural,,,,
Write note on unit testing,Procedural,,,,
Explain the categories of debugging approaches,Procedural,,,,
EXplain the use of COCOMO model,Conceptual,,,,
Describe the steps involved in project scheduling process,Procedural,,,,
Briefly discuss the activities . of Software configuration management.,Procedural,,,,
Explain the types of software project plan,Conceptual,,,,
What is Software Engineering,Factual,,,,
`Software doesnt wear out. Justify,Factual,,,,
List two advantages of using traceability tables in the requirements  management phase,Conceptual,,,,
What are the types.of prototypes,Factual,,,,
Develop a CRC model index card for a class Account used in a Banking  application.,Procedural,,,,
List two principles of good design.,Factual,,,,
What are the levels at which testing is done,Procedural,,,,
 Define Regression Testing.,Procedural,,,,
Define Software Quality.,Factual,,,,
What is Risk Give an example of risk.,Factual,,,,
Compare the following life cycle models based on their distinguishing factors strengths and weaknesses Waterfall Model RAD Model Spiral Model and Formal Methods Model.,Conceptual,,,,
 Develop the use case diagram for the specification above,Procedural,,,,
For any two scenarios draw an activity diagram and sequence diagram.,Procedural,,,,
What is the purpose of feasibility study ,Factual,,,,
State the inputs and results of the feasibility study,Factual,,,,
List any four issues addressed by. a feasibility study.,Factual,,,,
Elaborate the phases-involved when carrying out a feasibility study,Conceptual,,,,
Differentiate functional and non-functional requirements.,Factual,,,,
For the requirement given below identify stakeholders functional and non functional requirements,Conceptual,,,,
What is system modelling Explain the process of creating models and the factors that should.be considered when building models.,Procedural,,,,
Give a name for the system. Draw the Level 6 DFD (Context Flow Diagram)  Draw the Level â€” DFD.,Procedural,,,,
Given a set Of numbers n the function FindPrime(a[ ]n) prints a number if it is a _prime number. Draw control flow graph calculate the cyclomatic complexity and enumerate all paths. State how many test cases are needed to adequately cover the code in terms of branches decisions and-statement Develop the necessary test cases using sample values for a and n.,Procedural,,,,
What is black box testing ,Conceptual,,,,
What is Equivalence Class Partitioning list rules used to define valid and invalid equivalence classes. EXplain the technique Using examples.,Procedural,,,,
What is Boundary Value Analysis Explain the technique specifying rules. and its usage with the. help of an example.,Procedural,,,,
Explain the COC.OMO model for estimation.,Procedural,,,,
State ZIPFs law.,Conceptual,,,,
What is the purpose of Delphi method State advantages and disadvantages of the method.,Procedural,,,,
What is SoftWare Configuration Management Explain various aspects of Configuration. Management.,Procedural,,,,
What are the potential advantages of adhering to life cycle models for software,Conceptual,,,,
Is it always possible to realize win-win model for software Justify.,Conceptual,,,,
Distinguish between the terms inception elicitation and elaboration with reference to requirements.,Factual,,,,
An SRS is traceable. Comment.,Factual,,,,
How do you apply modularizalion criteria for a monolithic software,Conceptual,,,,
What. are the design quality attributes FURLS meant,Factual,,,,
What is a Big-Bang approach,Factual,,,,
How are the software testing results related to the reliability of the software,Conceptual,,,,
An organic software occupies 15000 LOC. How many programmers are needed   to complete,Procedural,,,,
How are the software risks assessed,Procedural,,,,
Describe waterfall incremental iterative water fall model and spiral  model based SLCS and compare.,Conceptual,,,,
How the software products are classified Discuss briefly about business process engineering and product engineering.,Conceptual,,,,
Describe the requirement engineering process and how the requirements  are managed.,Conceptual,,,,
Explain the functional and behavioural models for software requirement  process.,Conceptual,,,,
Discuss about software architecture design with emphasize on far in far out coupling cohesion and factoring.,Conceptual,,,,
 What are the characteristics of a good user interface design Describe  ow UID may be developed for a data acquisition system.,Conceptual,,,,
Write elaborately on white box testing for a software. How do you develop test suites,Procedural,,,,
Discuss the software implementation techniques and debugging guidelines.,Procedural,,,,
How the cost of a software is estimated using (i) function point metric model (ii) cocomo (by three methods). What is the contribution of  technology complexity factor in function point model,Procedural,,,,
Write short notes on the following  (i) PERT and CP/vi for scheduling  (ii) RIVIMP  (iii) ESTIMACS and   (iv) Software maintenance cost. ,Conceptual,,,,
Prototype is  a) Mini model of existing system  b) Mini model of proposed system c) Working model of the existing system d) None of these.,Factual,,,,
The present trend in data processing system is  a) Distributed processing b) Remote processing c) Real-time processing  d) None of these.,,,,,
 A class is a  a)  group of objects b) template of object of a particular type c)class of object d)classification of object.,Factual,,,,
In UML diagram of a class a) state of object cannot be represented  b) state is irrelevant c) state is represented as an attribute  d) state is represented as a result of operation.,Factual,,,,
The testing performed by friendly user is  a) Alpha testing      b) Beta testing  c) White box testing  d) None of these.,Factual,,,,
A good software design contains    a) High cohesion and low coupling  b) Low cohesion and low coupling   c) High cohesion and high coupling d) Low cohesion and high coupling.,Factual,,,,
Which is not supported by UML  a) Use case diagram   b) Class diagram  c) ER diagram         d) Sequence diagram.,Factual,,,,
How many parameters are used in complexity  adjustment in F.P.     a)  17   b)  21   c)  14                d)  12.,Factual,,,,
ix) Which level of SEI CMM is called as managed    a) Level 1                b) Level 2     c)   Level 3              d) Level 4.,Factual,,,,
What is the approximate time taken for coding    a) 17%                    b) 21%   c) 3%                     d) 40&.,Factual,,,,
What are Cohesion and Coupling  Classify them according  to priority.,Conceptual,,,,
What is Configuration Management  Discuss about the necessity of Configuration Management.  ,Conceptual,,,,
 Compare function oriented and object oriented approach for  software design with example.,Procedural,,,,
Why do we need Structure analysis and Structure design   What is Context diagram    ,Factual,,,,
Determine the Cyclomatic complexity for GCD function. ,Procedural,,,,
 Explain the drawbacks of waterfall model. Why is sprial model called meta model    ,Conceptual,,,,
What is a prototype model  Under what circumstances is it beneficial to construct a prototype model  Does  the construction of a prototype model always increase  the overall cost  ,Procedural,,,,
Who are the different categories of users of the SRS  document  What are their expectations from SRS ,Factual,,,,
What are the advantages of requirement specification  document  Who is a good software engineer ,Factual,,,,
Which life cycle model will you follow for developing software for â€” i) a game  (ii) a Compiler for new language    ,Procedural,,,,
What is the role of a manager in project management   What is Risk Containment   ,Factual,,,,
Write short note on Intermediate COCOMO and  Complete COCOMO.   ,Conceptual,,,,
Two software engineers separately estimated a given  project to be of 10000 and 15000 lines of code  respectively. Bring out the Effort and Schedule time implications of their estimate using Organic COCOMO.,Procedural,,,,
Why do we need to maintain the coding standard and   guidelines for coding  What are the standards we need  to maintain  ,Factual,,,,
Draw a DFD for Hotel Management System. ,Procedural,,,,
 What are the shortcomings of CMM  Compare ISO 9000 certification and SEI CMM.,Factual,,,,
Write short notes on the following  (i)     TQM (ii) Boundary value analysis (iii) Alpha and Beta testing.,Conceptual,,,,
Tracking the correspondence between the design  component and the SRS is known as   a) Availability        b) Traceability   c)  Maintainability    d) Reliability.,Factual,,,,
When the two bubbles are interconnected directly it is referred as  a) Serial DFD          b) Direct DFD  c) Synchronous         d) Balanced DFD.,Factual,,,,
DFD balancing means   a) Balancing of weight of processes e b) Must match the total number of bubbles c) Must match the data flow at the next level of DFD  d) none of these.,Factual,,,,
System Testing performed by a friendly set of cAsto ers is called  a) Alpha Testing        b) Beta Testing c) Performance Testing d) Usability Testing. ,Factual,,,,
Function Point describes  a) The SRS document b) The test plans c) The functional decomposition  d) The size of a software product directly from its  specification.,Factual,,,,
The potential risks are best detected by a) Spiral Model         b) Waterfall Model c) Incremental Model    d) Prototyping Model.,Factual,,,,
The most desirable form of cohesion is  a) sequential cohesion b) procedural cohesion c) coincidental cohesion d) functional cohesion.,Factual,,,,
Software testing is the 10 a) process of demonstrating t t errors are not  present  b) process of establishing confidence that a program  does what it is supposed to do c) process of executing a program to show that it is  working as per specifications d) process of executing a program with the intent of  finding errors.,Factual,,,,
The best type of coupling is a) Coincidental   b)Logical  c) Informational    d) Functional.,Factual,,,,
 Big Bank Integration testing is useful for projects with   a) smaller number of modules  b) large number of modules   c) average number of modules   d) None of these.,Factual,,,,
Explain Data-Dictionary.,Factual,,,,
What is integration testing  Explain with suitable example.,Conceptual,,,,
What is layered architecture  ,Conceptual,,,,
What are the various classifications of failures  Briefly   explain it.,Factual,,,,
Briefly explain the basic issues of Software Reuse.,Factual,,,,
Define Software Quality. ,Factual,,,,
Draw the CFG of the following code segment and find ,Procedural,,,,
McCabe Cyclomatic complexity by applying all the methods. ,,,,,
test(int bint cint x),,,,,
b. = c + 5,,,,,
While(x =1) {,,,,,
  x=x-1,,,,,
if (x = 7)x = 8,,,,,
else test (x,3, x - 1) ;,,,
  },,,,,
 },Procedural,,,,
What are cohesion and coupling  Discuss different kinds of cohesion.,Conceptual,,,,
If a module has logical cohesion what kind of coupling  is this module likely to have with other modules  Justify your answer.,Conceptual,,,,
Why is SRS document known as black box specification  of a system      ,Conceptual,,,,
a) Define with examples the different categories of software  development projects according to the COCOMO  estimation model.,Conceptual,,,,
b) The size of an organic type software system to be   developed by SCV Consultancy Services has been estimated to be 200 KLOC. Determine the effort   required to develop the software system.,Procedural,,,,
a) Explain Meta Model.      ,Conceptual,,,,
b) A Library Membership Software (LMS) should support the following three options  (i) New member   (ii) Renewal (iii) Cancel membership.  Draw Decision Tree and also implement Decision Table  for the system.   ,Procedural,,,,
c) Explain unit testing system testing and accept nce   testing.,Conceptual,,,,
d) What is coding standard  What are the contents of coding header      ,Factual,,,,
a) Explain different types of performance testing.  ,Conceptual,,,,
b) Explain equivalence class partitioning with an example. ,Conceptual,,,,
c) Differentiate between code walkthrough and code  inspection.,Conceptual,,,,
Calculate the software products maintenance cost.,Procedural,,,,
a) Who are the different categories of users of the SRS document  What are their expectations from the SRS document ,Factual,,,,
What are the advantages of SRS document  What are  test data and test vector   ,Factual,,,,
c) What are the different types of team structure followed  in software projects  Discuss them briefly.,Conceptual,,,,
a) What are the differences between fault failure and  error         ,Factual,,,,
b) Write a C function to find the maximum of three integer numbers. Now draw the control flow graph for that  C function. Also find its cyclomatic complexity using possible methods.      ,Procedural,,,,
Write down two differences between a structure chart and a flow chart.    ,Procedural,,,,
d) Distinguish between high-level and detailed designs.  What documents should be produced on completion of  high-level and detailed designs respectively ,Procedural,,,,
a) Draw the context diagram and Level 1 DFD for the  following Mail Order Processing System.  ,Procedural,,,,
b) Explain when you use the PERT charts and when to use  Gnatt charts if you were to perform the duties of a  project manager.   ,Procedural,,,,
c) How are the concepts of Cohesion and Coupling useful   in arriving at good software design   ,Conceptual,,,,
Who proposed the Spiral Model  a) Boehm    b) Winston Royce c) Rumbaugh  d) Booch.,Factual,,,,
Cardinality in an ER Diagram refers to a) number of attributes in an entity b) the order of co-related entities c) the number of sub-entities d) degree of a relationship.,Factual,,,,
If data from one module is used to direct the o der of  execution in another then the coupling is known as  a) Stamp Coupling      b) Data Coupling c) Control Coupling    d) Content Coupling.,Factual,,,,
To achieve a good design modules should have a) Weak cohesion Low coupling b) Weak cohesion High coupling c) Strong cohesion Low coupling  d) Strong cohesion High coupling.,Factual,,,,
Alpha-testing is done by a) the development team r A b) a friendly set of customers c) the customer himself  d) none of these.,Factual,,,,
Equivalence class partitioning is followed in the   a) white-box testing   b) black-box testing   c) verification        d) none of these.,Factual,,,,
Functionality of software is tested by a) white-box testing  b) glass-box testing c) black-box testing  d) none of these.,Factual,,,,
Which model is generally used for developing GUI of a  system   a) Spiral 1%)No/  b) Prototyping c) Iterative waterfall) d) Evolutionary.  ,Factual,,,,
Normalization is used for reducing a) atomicity  b)redundancy  c)    both (a) 85 (b)         d) none of these.,Factual,,,,
Data hiding can be achieved by a) Data Encapsulation  b) Data Overloading  c) Data Abstraction  d) Polymorphism.,Factual,,,,
What are baselines with respect to software configuration management  ,Conceptual,,,,
 What is the necessity of software configuration management in developing a software  ,Conceptual,,,,
a) What are stress testing and volume testing ,Procedural,,,,
b) Why is testing important ,Procedural,,,,
 What are CASE tools  How are they helpful in software development life cycle ,Procedural,,,,
 Distinguish between softwary verification and software  validation. When during the software life cycle verification  and validation performed  ,Conceptual,,,,
Which life cycle model would you follow for developing  software for each of the following applications  Justify your selection of model with the help of an appropriate reason. a) A Game  b) A Text editor,Procedural,,,,
a) Design a  White Box Test suite for the following code  ,Procedural,,,,
What do you understand by software reliability ,Conceptual,,,,
Define the following terms  MTTF MTTBR ROCOF.  ,Factual,,,,
a) Explain when and why you will use PERT charts and when and why will you use Gantt charts while you are   project manager.,Procedural,,,,
b) Consider a software project with 5 activities T1 to T5.   Duration of 5 activities in weeks are 3,Procedural,3,5, 2  respectively. T2 and T4 can start when T1 is complete.  T3 can start when T2 is complete. T5 can start when  both T3 and T4 are complete.  Draw activity network for the project. When is the latest  start date of the activity T3  What is the float of the activity T4  Which activities are on the critical path   Draw the Gantt chart also,Create
It is estimated that there will be 70 errors in a software. During testing 25 errors have been experienced.  Calculate failure intensity with a given value of É¸ = 0.03 using Jelinski-Moranda model. What will be the failure intensity after experiencing 50 errors  What are  cosmetic and transient errors ,Procedural,,,,
Why is risk analysis important   What is the difference between a Known risk and Predictable risk         ,Conceptual,,,,
 Distinguish between a Data Flow Diagram and a flow  chart.     ,Procedural,,,,
What is SRS  Briefly explain the characteristics of a  good SRS.        ,Factual,,,,
 What is meant by stub  What is a driver  In which  testing are they required  Explain briefly.,Factual,,,,
Write short notes on any three of the following   a) Feasibility study b) Waterfall Model  c) Quality Assurance d) Decision tree and Decision table e) Black Box testing.,Conceptual,,,,
a) What is the economical feasibility of asystem,Factual,,,,
b) What is the differenceb etweenI nspectionsa nd Walkthroughs,Factual,,,,
c) What is Black box Testing strategies,Procedural,,,,
d) What is a decision tree,Procedural,,,,
e) What is Process based estimation,Procedural,,,,
f) Is unit testingp ossibieo r evend esirablein ail circumstances,Procedural,,,,
g) What is cyclomatic complexity,Factual,,,,
h) Explain briefly whetherS /W is developedo r engineered,Factual,,,,
l) What is Software Maintenance,Conceptual,,,,
j) What is the major duty of a systemanalyst,Factual,,,,
What aret he quality  attributes that every software should possess Explain them  clearly. List various objectives of software engineering.,Factual,,,,
Explain the waterfall life cycle model.,Conceptual,,,,
What are test reports Explain the various testing techniques.,Procedural,,,,
What are the projectn management tools used List them and explain. Explain the side effects that are caused due to software maintennance,Factual,,,,
Who should perform the validation test S/W developer or S/W user  Justify your answer.,Factual,,,,
Softwarer equiretnenat nalysisis the most communicationin tensives tepi n softwaree ngineeringp rocessD. Iscuss,Factual,,,,
Suppose you want to develop software for a Visitors Registration System For the above mentioned system develop a Systems Requirembnt Specifications.,Procedural,,,,
What is a user interface. Elaborate the rules for designing the user  interface.,Conceptual,,,,
What is validation,Factual,,,,
Whati s embeddesdo ftware,Factual,,,,
Whati s meantb y softwarem aintenance,Factual,,,,
What is beta testing,Factual,,,,
Whati s ther ole of creatinga testd ata,Factual,,,,
Whata rel imitationso f Lineso f Code,Factual,,,,
What is coupling,Conceptual,,,,
What is 4GL environment,Conceptual,,,,
Whats oftwarefa ils,Factual,,,,
Whata red isadvantageosf usingl ibraryr outines,Factual,,,,
Q2) What are software components,Factual,,,,
Why is prorotypen ecessaryH ow tloesh is approachs avest he cost and effort,Factual,,,,
Why the characteristicosf requirementps lay significantr ole in selectinga model,Factual,,,,
Describet he proceduresto calculatec ost-benefita nalysis.,Procedural,,,,
What is meant by feasibility analysis,Procedural,,,,
What is the difference between decision table and decision tree,Procedural,,,,
What is difference among formal semiformal and informal methods of software development,Procedural,,,,
Explain various types of COCOMO modes. Explain about the phase wised istributiono f efforts.,Procedural,,,,
What types of errors are likely to be discovered through inspection,Factual,,,,
What is softwareq uality andq uality attributesW hat ares oftwareq uality standards,Factual,,,,
What is the needf or softwarem aintenanceH ow aret hesem aintained for client seryera rchitecturee nvironment,Conceptual,,,,
Explain data design.,Conceptual,,,,
Explains oftwarec haracteristics.,Factual,,,,
Whati s cyclomaticc omplexity,Procedural,,,,
Whata ret he advantageasn dd isadvantageosf CASEt ools,Procedural,,,,
Definet op downa pproachto softwared esign,Procedural,,,,
Whati s the differenceb etweenfl owcharta nds tructurec hart,Procedural,,,,
What do you mean by metrics,Factual,,,,
What is a ER-diagram,Procedural,,,,
What is Rayleigh curve used for,Factual,,,,
Whatd o youm eanb y SEl-CapabilitMy aturityM odel,Conceptual,,,,
Whicha ret het echniquews ithw hichc oste stimateosf a projectm ayb em ade Explaint heC OCOMOm odel.,Procedural,,,,
Whatis meanbt y SoftwareC onfiguratioMn anagement,Conceptual,,,,
Whata ret hed ifferent oolsu sedf or structuredsy stema nalysis& design.,Conceptual,,,,
Narnet hev ariousli fe cycler nodelsE. xplaint he spiralr nodeli n detail.,Conceptual,,,,
How is schedulingo f a project dones o that it is developedi n minimumt ime,Procedural,,,,
What is the difference between structural programming and data oriented designE. xplain.,Procedural,,,,
Give a detailed accouni on the debugging techniques on their classification and the methodsi nvolved.,Procedural,,,,
ExplainC odings tylea ndC odinge fficiencyL. ist ande xplaint he characteristics of a programmingla nguage.,Procedural,,,,
Out of the following life cycle models which one can be considered as the most general model and the others as specialization of it Classical Waterfall Model  Iterative Waterfall Model Prototyping Model  Spiral Model ,Factual,,,,
The interface of a software product which is supporting a large number of commands can be developed using________. a. mode-based interface   b.  either mode-based interface or modeless interface c. modeless interface    d. neither mode-based interface nor modeless interface,Factual,,,,
Domain analysis identifies which of the following a. objects      b. operations  c. relationships among objects   d. all of the above,Factual,,,,
The most abstract artifact associated with software development that can be reused is___.  a. requirements specification     b. design  c. code       d. knowledge e. test cases,Factual,,,,
The primary objective(s) in using any CASE tool is(are)________. a. to increase productivity of software development  b. to decrease software development as well as software maintenance cost c. help to produce better quality software d. all of the above ,Factual,,,,
The basic premise of modern quality assurance is___________. a. continuous process improvement b. thorough product testing  c. if an organizationâ€™s processes are good and are followed rigorously then the products are bound to be of good quality  d. collection of process metrics,Factual,,,,
Job specialization is one of the main advantages in case of which organization structure  a. project format     b. function format  c. either project format or function format  d. both of project format and function format,Factual,,,,
A project estimation technique based on making an educated guess of the project parameters (such as project size effort required to develop the software project duration cost etc.) is_________.  a. analytical estimation technique   b. heuristic estimation technique c. empirical estimation technique   d. none of the above,Factual,,,,
When a system interfaces with other types of systems then that time the testing be required is_________. a. volume testing     b. configuration testing c. compatibility testing    d. maintenance testing,Factual,,,,
,Factual,,,,
The bubbles in a level 1 DFD represent  a. exactly one high-level functional requirement described in SRS document  b. more than one high-level functional requirement  c. part of a high-level functional requirement  d. any of the above depending on the problem  ,Factual,,,,
a. State at least three differences between the exploratory style and modern styles of software development,Conceptual,,,,
b. What is the need for a software life cycle model Explain.,Conceptual,,,,
What is axiomatic specification of system What are the sequence of steps that can be followed to systematically develop the axiomatic specifications of a function. Give the axiomatic specification of following functions. i. Specify the pre- and post-conditions of a function that takes a real number as argument and returns half the input value if the input is less than or equal to 100 or else returns double the value ii. Axiomatically specify a function named search which takes an integer array and an integer key value as its arguments and returns the index in the array where the key value is present.,Procedural,,,,
a. Explain at least three reasons in favor of why functional independence is the key factor for a good software design.,Conceptual,,,,
b. Explain the aim of the structured analysis activity. Which documents are produced at the end of structured analysis activity,Factual,,,,
a. Differentiate among basic COCOMO model intermediate COCOMO model and complete COCOMO model.,Conceptual,,,,
b. In what units can you measure the productivity of a software development team List three important factors that affect the productivity of a software development team.,Factual,,,,
a. Draw the control flow graph for the following function named find maximum. From the control flow graph determines its Cyclomatic complexity. What is the difference between path and linearly independent path in terms of control flow graph (CFG) of a problem,Procedural,,,,
 List the major responsibilities of a software project manager. What should be the necessary skills of a software project manager in order to perform the task of software project management,Procedural,,,,
Define six metrics to measure software reliability. Do you consider these metrics entirely satisfactory to provide measure of the reliability of a system Justify your answer.,Procedural,,,,
What is the difference between user guidance and on-line help system in the user interface of a software system,Factual,,,,
Out of the following life cycle models which one can be considered as the most general model and the others as specialization of it a) Classical Waterfall Model  b) Iterative Waterfall Model c) Prototyping Model d) Spiral Model,Factual,,,,
Which of the following view captured by UML diagrams can be considered as black box model of a system a) structural view b) behavioural view c) userâ€™s view  d) implementation view,Factual,,,,
Among development phases of software life cycle which phase typically consumes the maximum effort a) Requirements analysis and specification b) Design c) Coding d) Testing ,Factual,,,,
The design pattern solutions are typically described in terms of  a) class diagrams b) object diagrams c) interaction diagrams d) both class and interaction diagrams ,Factual,,,,
The context diagram of a DFD is also known as a) level 0 DFD  b) level 1 DFD c) level 2 DFD d) none of these,Factual,,,,
Spiral life cycle model is not suitable for products that are vulnerable to large number of risks.,Factual,,,,
The upper rows of the decision table specify the corresponding actions to be taken when an evaluation test is satisfied.,Factual,,,,
Applications developed using 4 GLs would normally be more efficient and run faster compared to applications developed using 3 GL.,Factual,,,,
A DFD model of a system represents the functions performed by the system and the data flow taking place among these functions.,Factual,,,,
The aggregation relationship cannot be reflexive and symmetric but is transitive.,Factual,,,,
Discuss the two important techniques that software engineering uses to tackle the problem of exponential growth of problem complexity with its size.,Procedural,,,,
Explain the various phases of a classical waterfall model.,Procedural,,,,
Identify the use of algebraic specifications in the context of requirements specification.,Conceptual,,,,
Discuss the shortcomings of the DFD model.,Procedural,,,,
Explain why is it necessary to create a model in the context of good software development.,Conceptual,,,,
Explain the purpose of different types of objects identified during domain analysis. Explain how these objects interact among each other.,Procedural,,,,
a.Write down some popular design patterns and their necessities. ,Factual,,,,
b. Explain the Menu-based interfaces,Conceptual,,,,
c.  How does the human cognition capabilities and limitations influence human-computer user interface designing,Conceptual,,,,
a. Discuss the various coding standards and coding guidelines ,Factual,,,,
b. Explain Black Box Testing.,Conceptual,,,,
c. What is meant by a task model Explain it with examples.,Conceptual,,,,
